From https://github.com/ndaniels/MolSearch
   f6eecb0..192b19d  smsd       -> origin/smsd
Updating f6eecb0..192b19d
Fast-forward
 build/edu/mit/csail/fmcsj/AbstractMCS.class |  Bin 2082 -> 2082 bytes
 build/jar/Ammolite.jar                      |  Bin 126630 -> 126628 bytes
 src/edu/mit/csail/fmcsj/AbstractMCS.java    |    2 +-
 3 files changed, 1 insertion(+), 1 deletion(-)
[H[JScanning 30_random_molecules.sdf
Finished Scanning after 780 milliseconds
Finished closing files after 780 milliseconds
Decompressing 30.adb
29 clusters
Calculating pairwise distances for 29 clusters
Using 20 threads
Done calculating pairwise distances. Took 16850 milliseconds, 326888 in MCS
Time breakdown:
149 Time 921 Dist 0.23529411764705882
150 Time 707 Dist 0.23529411764705882
151 Time 1112 Dist 0.2702702702702703
152 Time 767 Dist 0.25
153 Time 121 Dist 0.38095238095238093
154 Time 231 Dist 0.2962962962962963
155 Time 252 Dist 0.25
156 Time 125 Dist 0.36363636363636365
157 Time 79 Dist 0.3181818181818182
158 Time 71 Dist 0.36363636363636365
159 Time 133 Dist 0.3157894736842105
160 Time 109 Dist 0.3157894736842105
161 Time 74 Dist 0.28
162 Time 12 Dist 0.35294117647058826
163 Time 22 Dist 0.46153846153846156
164 Time 87 Dist 0.23333333333333334
165 Time 94 Dist 0.2916666666666667
166 Time 169 Dist 0.2916666666666667
167 Time 119 Dist 0.34782608695652173
168 Time 70 Dist 0.2857142857142857
169 Time 53 Dist 0.3076923076923077
170 Time 135 Dist 0.2962962962962963
171 Time 495 Dist 0.48148148148148145
172 Time 2145 Dist 0.3939393939393939
173 Time 2006 Dist 0.24390243902439024
174 Time 941 Dist 0.3225806451612903
175 Time 611 Dist 0.3793103448275862
176 Time 794 Dist 0.3225806451612903
177 Time 463 Dist 0.2
178 Time 347 Dist 0.38461538461538464
179 Time 736 Dist 0.30303030303030304
180 Time 89 Dist 0.36
181 Time 4 Dist 0.2
182 Time 742 Dist 0.2
183 Time 1196 Dist 0.4
184 Time 1137 Dist 0.2727272727272727
185 Time 983 Dist 0.23529411764705882
186 Time 1003 Dist 0.23684210526315788
187 Time 908 Dist 0.40625
188 Time 1213 Dist 0.24324324324324326
189 Time 67 Dist 0.2962962962962963
190 Time 1239 Dist 0.4642857142857143
191 Time 2709 Dist 0.46875
192 Time 3168 Dist 0.5757575757575758
193 Time 612 Dist 0.5
194 Time 1081 Dist 0.36666666666666664
195 Time 791 Dist 0.5
196 Time 699 Dist 0.23333333333333334
197 Time 436 Dist 0.32142857142857145
198 Time 1295 Dist 0.3333333333333333
199 Time 97 Dist 0.34615384615384615
200 Time 27 Dist 0.24
201 Time 1284 Dist 0.2564102564102564
202 Time 727 Dist 0.72
203 Time 1639 Dist 0.4827586206896552
204 Time 1432 Dist 0.22857142857142856
205 Time 1424 Dist 0.23076923076923078
206 Time 1101 Dist 0.24324324324324326
207 Time 1003 Dist 0.23684210526315788
208 Time 236 Dist 0.2857142857142857
209 Time 1967 Dist 0.34285714285714286
210 Time 1364 Dist 0.3225806451612903
211 Time 2796 Dist 0.2702702702702703
212 Time 4460 Dist 0.23809523809523808
213 Time 1706 Dist 0.4
214 Time 1654 Dist 0.41379310344827586
215 Time 1350 Dist 0.3125
216 Time 474 Dist 0.37037037037037035
217 Time 336 Dist 0.37037037037037035
218 Time 926 Dist 0.29411764705882354
219 Time 160 Dist 0.20689655172413793
220 Time 19 Dist 0.19230769230769232
221 Time 1566 Dist 0.2564102564102564
222 Time 1588 Dist 0.30303030303030304
223 Time 2559 Dist 0.34375
224 Time 1447 Dist 0.2647058823529412
225 Time 2033 Dist 0.23076923076923078
226 Time 2141 Dist 0.4838709677419355
227 Time 1340 Dist 0.23684210526315788
228 Time 155 Dist 0.2857142857142857
229 Time 2167 Dist 0.38235294117647056
230 Time 3290 Dist 0.2631578947368421
231 Time 39 Dist 0.5789473684210527
232 Time 114 Dist 0.44
233 Time 34 Dist 0.36666666666666664
234 Time 44 Dist 0.55
235 Time 84 Dist 0.5789473684210527
236 Time 25 Dist 0.55
237 Time 53 Dist 0.7333333333333333
238 Time 168 Dist 0.625
239 Time 96 Dist 0.43478260869565216
240 Time 97 Dist 0.3333333333333333
241 Time 21 Dist 0.42857142857142855
242 Time 299 Dist 0.26666666666666666
243 Time 44 Dist 0.5238095238095238
244 Time 38 Dist 0.5238095238095238
245 Time 349 Dist 0.391304347826087
246 Time 216 Dist 0.32142857142857145
247 Time 310 Dist 0.34615384615384615
248 Time 277 Dist 0.3333333333333333
249 Time 93 Dist 0.47058823529411764
250 Time 181 Dist 0.38461538461538464
251 Time 70 Dist 0.4230769230769231
252 Time 31 Dist 0.4230769230769231
253 Time 22 Dist 0.5882352941176471
254 Time 95 Dist 0.32
255 Time 54 Dist 0.35714285714285715
256 Time 54 Dist 0.5555555555555556
257 Time 37 Dist 0.5
258 Time 24 Dist 0.47368421052631576
259 Time 113 Dist 0.4375
260 Time 105 Dist 0.4375
261 Time 27 Dist 0.42857142857142855
262 Time 78 Dist 0.4
263 Time 15 Dist 0.4166666666666667
264 Time 74 Dist 0.4
265 Time 50 Dist 0.5263157894736842
266 Time 43 Dist 0.45
267 Time 101 Dist 0.38095238095238093
268 Time 99 Dist 0.3076923076923077
269 Time 80 Dist 0.3333333333333333
270 Time 51 Dist 0.32
271 Time 36 Dist 0.4666666666666667
272 Time 175 Dist 0.32
273 Time 54 Dist 0.4166666666666667
274 Time 82 Dist 0.36
275 Time 34 Dist 0.5333333333333333
276 Time 828 Dist 0.4117647058823529
277 Time 3800 Dist 0.3170731707317073
278 Time 6554 Dist 0.475
279 Time 1188 Dist 0.3611111111111111
280 Time 1979 Dist 0.3333333333333333
281 Time 1539 Dist 0.3611111111111111
282 Time 950 Dist 0.1891891891891892
283 Time 663 Dist 0.1891891891891892
284 Time 1735 Dist 0.275
285 Time 223 Dist 0.16666666666666666
286 Time 84 Dist 0.1875
287 Time 2247 Dist 0.21739130434782608
288 Time 2110 Dist 0.35135135135135137
289 Time 3610 Dist 0.35135135135135137
290 Time 1554 Dist 0.19047619047619047
291 Time 2444 Dist 0.1956521739130435
292 Time 1711 Dist 0.20454545454545456
293 Time 2216 Dist 0.2
294 Time 373 Dist 0.22857142857142856
295 Time 2560 Dist 0.22727272727272727
296 Time 4134 Dist 0.30952380952380953
297 Time 4236 Dist 0.2222222222222222
298 Time 148 Dist 0.375
299 Time 51 Dist 0.28125
300 Time 730 Dist 0.43333333333333335
301 Time 1848 Dist 0.4
302 Time 2655 Dist 0.22727272727272727
303 Time 571 Dist 0.29411764705882354
304 Time 740 Dist 0.30303030303030304
305 Time 703 Dist 0.3333333333333333
306 Time 324 Dist 0.18181818181818182
307 Time 406 Dist 0.25806451612903225
308 Time 748 Dist 0.2777777777777778
309 Time 40 Dist 0.32142857142857145
310 Time 25 Dist 0.17857142857142858
311 Time 1101 Dist 0.18604651162790697
312 Time 848 Dist 0.40625
313 Time 1340 Dist 0.3235294117647059
314 Time 803 Dist 0.21621621621621623
315 Time 992 Dist 0.35135135135135137
316 Time 943 Dist 0.23076923076923078
317 Time 981 Dist 0.2564102564102564
318 Time 120 Dist 0.26666666666666666
