ID1, ID2, Size of 1, Size of 2, MCS Size
59293769, 59293769, 36, 36, 36
59293769, 62452948, 36, 18, 10
59293769, 37545929, 36, 28, 17
59293769, 30371023, 36, 26, 12
59293769, 4524519, 36, 23, 14
59293769, 44182792, 36, 35, 15
